RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T14:20:16.470777800Z0.8693709522503019,1706691991160,1727528562588,0,1112440,50
req2024-05-12T14:20:16.475773Z0.7837071158256211,1706692002080,1727523573508,0,1200080,50
req2024-05-12T14:20:16.477728800Z0.8107922425688863,1706691965120,1727521536548,0,861700,50
req2024-05-12T14:20:16.477728800Z0.7987750164348693,1706691921090,1727521492518,0,506170,50
req2024-05-12T14:20:16.471775900Z0.7140506005231166,1706691930260,1727527501688,0,586670,50
req2024-05-12T14:20:16.460809100Z0.04796141297677381,1706691864670,1727538436098,0,64470,50
req2024-05-12T14:20:16.472775900Z0.10276753022105067,1706691905480,1727526476908,0,368340,50
req2024-05-12T14:20:16.473775500Z0.32612495678026543,1706691949020,1727525520448,0,719460,50
req2024-05-12T14:20:16.472775900Z0.7823092496452455,1706691949580,1727526521008,0,734720,50
req2024-05-12T14:20:16.477728800Z0.3451212698368292,1706691998090,1727521569518,0,1165990,50
req2024-05-12T14:20:16.477728800Z0.7926074278738511,1706691939080,1727521510508,0,626430,50
req2024-05-12T14:20:16.473775500Z0.8907896384717169,1706691998020,1727525569448,0,1167040,50
req2024-05-12T14:20:16.474777800Z0.01988859117607944,1706691993960,1727524565388,0,1127630,50
req2024-05-12T14:20:16.472775900Z0.7349114447948519,1706691968620,1727526540048,0,877590,50
req2024-05-12T14:20:16.455038200Z0.1534598833402281,1706691884970,1727543456398,0,206780,50
req2024-05-12T14:20:16.472775900Z0.010274216056298968,1706691933900,1727526505328,0,619360,50
req2024-05-12T14:20:16.471775900Z0.4953998160994707,1706691891340,1727527462768,0,302400,50
req2024-05-12T14:20:16.477082900Z0.05505621576564812,1706691867120,1727521438548,0,141190,50
req2024-05-12T14:20:16.472775900Z0.592608575056953,1706691992700,1727526564128,0,1117340,50
req2024-05-12T14:20:16.473775500Z0.9054616942834738,1706691890500,1727525461928,0,283150,50
req2024-05-12T14:20:16.477082900Z0.5889496402889541,1706691865440,1727521436868,0,109830,50
req2024-05-12T14:20:16.475773Z0.24379435561638174,1706691985700,1727523557128,0,1048880,50
req2024-05-12T14:20:16.478792400Z0.4321438020427638,1706691925360,1727520496788,0,529900,50
req2024-05-12T14:20:16.471775900Z0.6330374357899196,1706691895750,1727527467178,0,330820,50
req2024-05-12T14:20:16.478792400Z0.4680329463258647,1706691884760,1727520456188,0,202930,50
req2024-05-12T14:20:16.471775900Z0.6787237127697813,1706691999490,1727527570918,0,1182860,50
req2024-05-12T14:20:16.475773Z0.2202214461609101,1706691919830,1727523491258,0,506660,50
req2024-05-12T14:20:16.477082900Z0.32158418175616477,1706691864110,1727521435538,0,35840,50
req2024-05-12T14:20:16.477728800Z0.9284258363652452,1706691998230,1727521569658,0,1169280,50
req2024-05-12T14:20:16.471775900Z0.20119457963284604,1706691960710,1727527532138,0,813960,50
req2024-05-12T14:20:16.472775900Z0.33347693164280934,1706691895190,1727526466618,0,325780,50
req2024-05-12T14:20:16.475773Z0.2156515824716596,1706691928720,1727523500148,0,561120,50
req2024-05-12T14:20:16.478792400Z0.1267619407601963,1706691895260,1727520466688,0,325710,50
req2024-05-12T14:20:16.475773Z0.828268973564378,1706691963440,1727523534868,0,834050,50
req2024-05-12T14:20:16.478792400Z0.9627067277232682,1706691926480,1727520497908,0,546000,50
req2024-05-12T14:20:16.477728800Z0.5349468465097051,1706691982550,1727521553978,0,990710,50
req2024-05-12T14:20:16.478792400Z0.3819749661978806,1706691865510,1727520436938,0,113750,50
req2024-05-12T14:20:16.477728800Z0.11125527263598989,1706691980170,1727521551598,0,967400,50
